BAB1 en sc. physiques,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_sc__physiques.ics?version=14.0.2.5&idICal=F6119C06BDE03E0B77A758823D4919AB&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en sciences biomédicales,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_sciences_biomedicales.ics?version=14.0.2.5&idICal=0E5EBF55A5F9144AD0B932057AF5ED9D&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en sciences humaines et sociales,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_sciences_humaines_et_sociales.ics?version=14.0.2.5&idICal=2396E9427BB2A12AD4A99B9ACEB46AF4&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en sciences pharmaceutiques,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_sciences_pharmaceutiques.ics?version=14.0.2.5&idICal=12BD6129A07D4AB8B13A21A20BB3930D&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en traduction et interprétation,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_traduction_et_interpretation.ics?version=14.0.2.5&idICal=D7C50E45690F0DAA5F58CF208A1138BC&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 ing civil,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_ing_civil.ics?version=14.0.2.5&idICal=9D7AF0F8387A27D948844AE70A0E4389&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 ing civil (Char),https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_ing_civil__Char_.ics?version=14.0.2.5&idICal=E744059C53CA69A13EF229D962BDCD6F&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 ing civil archi,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_ing_civil_archi.ics?version=14.0.2.5&idICal=6366BC578828006ABD6CBF9DA0E8C035&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB2 en architecture,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB2_en_architecture.ics?version=14.0.2.5&idICal=2DF098A9BA0670E01C2273EECF3D8D8E&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB2 en droit,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB2_en_droit.ics?version=14.0.2.5&idICal=860665660E5A485F495F5D1C1EFE7522&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB2 en Ing. de gest.,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB2_en_Ing__de_gest_.ics?version=14.0.2.5&idICal=9C3AD3138B9A493669CB5E204012C1F9&param=643d5b312e2e36325d2666683d3126663d3131303030
